wort;übersetzung;wortart;niveau;thema
agriculture;Landwirtschaft;n.;B2;
AIDS;AIDS;n.;B2;
alien;fremd / Außerirdische:r;n.;B2;
alongside;neben / an der Seite;prep.;B2;
altogether;insgesamt / ganz;adv.;B2;
ambulance;Krankenwagen;n.;B2;
amusing;amüsant / unterhaltsam;adj.;B2;
analyst;Analyst:in;n.;B2;
ancestor;Vorfahre;n.;B2;
animation;Animation;n.;B2;
annually;jährlich;adv.;B2;
anticipate;erwarten / antizipieren;v.;B2;
anxiety;Angst / Sorge;n.;B2;
apology;Entschuldigung;n.;B2;
applicant;Bewerber:in;n.;B2;
appropriately;angemessen;adv.;B2;
arrow;Pfeil;n.;B2;
artwork;Kunstwerk;n.;B2;
aside;beiseite;adv.;B2;
asset;Vermögenswert / Stärke;n.;B2;
assign;zuweisen;v.;B2;
assistance;Hilfe / Unterstützung;n.;B2;
assumption;Annahme;n.;B2;
assure;versichern;v.;B2;
astonishing;erstaunlich;adj.;B2;
attachment;Anhang / Bindung;n.;B2;
auction;Auktion;n.;B2;
audio;Audio;adj.;B2;
automatic;automatisch;adj.;B2;
automatically;automatisch;adv.;B2;
awareness;Bewusstsein;n.;B2;
awkward;unangenehm / ungeschickt;adj.;B2;
badge;Abzeichen / Plakette;n.;B2;
balanced;ausgewogen;adj.;B2;
ballet;Ballett;n.;B2;
balloon;Luftballon;n.;B2;
barely;kaum;adv.;B2;
bargain;Schnäppchen;n.;B2;
basement;Keller;n.;B2;
basket;Korb;n.;B2;
bat;Schläger / Fledermaus;n.;B2;
beneficial;vorteilhaft;adj.;B2;
beside;neben;prep.;B2;
besides;außerdem / neben;prep., adv.;B2;
bias;Voreingenommenheit;n.;B2;
bid;Gebot / bieten;n., v.;B2;
biological;biologisch;adj.;B2;
blanket;Decke (Bett);n.;B2;
blow;blasen / Schlag;n.;B2;
bold;fett / kühn;adj.;B2;
bombing;Bombenanschlag;n.;B2;
booking;Buchung / Reservierung;n.;B2;
boost;Auftrieb / verstärken;v., n.;B2;
bound;verpflichtet / gebunden;adj.;B2;
brick;Ziegelstein;n.;B2;
briefly;kurz;adv.;B2;
broadcaster;Rundfunksender / Moderator:in;n.;B2;
broadly;weitgehend;adv.;B2;
bug;Käfer / Fehler (Software);n.;B2;
cabin;Hütte / Kabine;n.;B2;
canal;Kanal;n.;B2;
candle;Kerze;n.;B2;
carbon;Kohlenstoff;n.;B2;
casual;lässig / beiläufig;adj.;B2;
cave;Höhle;n.;B2;
certainty;Gewissheit;n.;B2;
certificate;Zertifikat / Urkunde;n.;B2;
challenging;herausfordernd;adj.;B2;
championship;Meisterschaft;n.;B2;
charming;charmant;adj.;B2;
chase;verfolgen / Verfolgung;v., n.;B2;
cheek;Wange;n.;B2;
cheer;jubeln / aufmuntern;v., n.;B2;
choir;Chor;n.;B2;
chop;hacken;v.;B2;
circuit;Stromkreis / Rennstrecke;n.;B2;
civilization;Zivilisation;n.;B2;
clarify;klarstellen;v.;B2;
classify;klassifizieren / einordnen;v.;B2;
clerk;Angestellte:r / Verkäufer:in;n.;B2;
cliff;Klippe;n.;B2;
clinic;Klinik / Praxis;n.;B2;
clip;Clip / Klammer;n.;B2;
coincidence;Zufall;n.;B2;
collector;Sammler:in;n.;B2;
colony;Kolonie;n.;B2;
colourful;farbenfroh;adj.;B2;
comic;Comic / komisch;adj., n.;B2;
commander;Kommandant:in;n.;B2;
comparative;vergleichend / Komparativ;adj.;B2;
completion;Fertigstellung / Abschluss;n.;B2;
compose;komponieren / verfassen;v.;B2;
composer;Komponist:in;n.;B2;
compound;Verbindung / zusammengesetzt;n.;B2;
comprehensive;umfassend;adj.;B2;
comprise;umfassen / bestehen aus;v.;B2;
compulsory;obligatorisch / Pflicht-;adj.;B2;
concrete;konkret / Beton;adj., n.;B2;
confess;gestehen;v.;B2;
confusion;Verwirrung;n.;B2;
consequently;folglich;adv.;B2;
conservation;Naturschutz / Erhaltung;n.;B2;
considerable;beträchtlich;adj.;B2;
considerably;beträchtlich;adv.;B2;
consistently;konsequent / durchgehend;adv.;B2;
conspiracy;Verschwörung;n.;B2;
consult;konsultieren / nachschlagen;v.;B2;
consultant;Berater:in;n.;B2;
consumption;Konsum / Verbrauch;n.;B2;
controversial;umstritten;adj.;B2;
controversy;Kontroverse;n.;B2;
convenience;Bequemlichkeit;n.;B2;
convention;Konvention / Tagung;n.;B2;
conventional;konventionell;adj.;B2;
convey;übermitteln / vermitteln;v.;B2;
convincing;überzeugend;adj.;B2;
cope;bewältigen / klarkommen;v.;B2;
corporation;Konzern / Körperschaft;n.;B2;
corridor;Flur / Korridor;n.;B2;
counter (long flat surface);Theke;n.;B2;
coverage;Berichterstattung / Abdeckung;n.;B2;
crack;Riss / knacken;v., n.;B2;
craft;Handwerk;n.;B2;
creativity;Kreativität;n.;B2;
critically;kritisch;adv.;B2;
cruise;Kreuzfahrt;n., v.;B2;
cue;Stichwort / Hinweis;n.;B2;
curious;neugierig;adj.;B2;
curriculum;Lehrplan;n.;B2;
cute;süß / niedlich;adj.;B2;
dairy;Milchprodukt / Molkerei;n., adj.;B2;
dare;wagen;v.;B2;
darkness;Dunkelheit;n.;B2;
database;Datenbank;n.;B2;
deadline;Frist / Deadline;n.;B2;
deadly;tödlich;adj.;B2;
dealer;Händler:in;n.;B2;
deck;Deck / Stapel;n.;B2;
defender;Verteidiger:in;n.;B2;
delete;löschen;v.;B2;
democracy;Demokratie;n.;B2;
democratic;demokratisch;adj.;B2;
demonstration;Demonstration;n.;B2;
depart;abreisen;v.;B2;
dependent;abhängig;adj.;B2;
deposit;Einzahlung / Anzahlung;n.;B2;
depression;Depression;n.;B2;
derive;ableiten / stammen aus;v.;B2;
desperately;verzweifelt;adv.;B2;
destruction;Zerstörung;n.;B2;
determination;Entschlossenheit;n.;B2;
devote;widmen;v.;B2;
differ;sich unterscheiden;v.;B2;
disability;Behinderung;n.;B2;
disabled;behindert;adj.;B2;
disagreement;Meinungsverschiedenheit;n.;B2;
disappoint;enttäuschen;v.;B2;
disappointment;Enttäuschung;n.;B2;
discourage;entmutigen / abraten;v.;B2;
disorder;Unordnung / Störung;n.;B2;
distant;entfernt / fern;adj.;B2;
distinct;deutlich / verschieden;adj.;B2;
distinguish;unterscheiden;v.;B2;
distract;ablenken;v.;B2;
disturb;stören;v.;B2;
dive;tauchen;v., n.;B2;
diverse;vielfältig;adj.;B2;
diversity;Vielfalt;n.;B2;
divorce;Scheidung / sich scheiden lassen;n., v.;B2;
dominant;dominant;adj.;B2;
donation;Spende;n.;B2;
dot;Punkt;n.;B2;
downtown;Innenstadt;n., adj., adv.;B2;
dramatically;dramatisch;adv.;B2;
drought;Dürre;n.;B2;
dull;langweilig / stumpf;adj.;B2;
dump;Müllkippe / abladen;v.;B2;
duration;Dauer;n.;B2;
dynamic;dynamisch;adj.;B2;
economics;Wirtschaftswissenschaft;n.;B2;
economist;Ökonom:in / Wirtschaftswissenschaftler:in;n.;B2;
editorial;redaktionell / Leitartikel;adj.;B2;
efficiently;effizient;adv.;B2;
elbow;Ellbogen;n.;B2;
electronics;Elektronik;n.;B2;
elegant;elegant;adj.;B2;
elementary;elementar / Grund-;adj.;B2;
eliminate;beseitigen;v.;B2;
embrace;umarmen / umfassen;v.;B2;
emission;Emission / Ausstoß;n.;B2;
emotionally;emotional;adv.;B2;
empire;Reich / Imperium;n.;B2;
enjoyable;unterhaltsam / angenehm;adj.;B2;
entertaining;unterhaltsam;adj.;B2;
entrepreneur;Unternehmer:in;n.;B2;
envelope;Umschlag;n.;B2;
equip;ausrüsten;v.;B2;
equivalent;gleichwertig / Äquivalent;n., adj.;B2;
era;Ära / Zeitalter;n.;B2;
erupt;ausbrechen;v.;B2;
essentially;im Wesentlichen;adv.;B2;
ethic;Ethik;n.;B2;
ethnic;ethnisch;adj.;B2;
evaluation;Bewertung;n.;B2;
evident;offensichtlich;adj.;B2;
evolution;Evolution / Entwicklung;n.;B2;
evolve;sich entwickeln;v.;B2;
exceed;überschreiten;v.;B2;
exception;Ausnahme;n.;B2;
excessive;übermäßig;adj.;B2;
exclude;ausschließen;v.;B2;
exhibit;ausstellen / Ausstellungsstück;v., n.;B2;
exit;Ausgang / verlassen;n.;B2;
exotic;exotisch;adj.;B2;
expansion;Expansion / Erweiterung;n.;B2;
expertise;Expertise / Fachwissen;n.;B2;
exploit;ausnutzen / Heldentat;v.;B2;
exposure;Exposition / Belichtung;n.;B2;
extension;Erweiterung / Verlängerung;n.;B2;
extensive;umfangreich;adj.;B2;
extensively;umfassend / weitgehend;adv.;B2;
extract;auszug / extrahieren;n.;B2;
fabric;Stoff / Gewebe;n.;B2;
fabulous;fabelhaft;adj.;B2;
failed;gescheitert;adj.;B2;
fake;gefälscht / Fälschung;adj.;B2;
fame;Ruhm;n.;B2;
fantasy;Fantasie;n.;B2;
fare;Fahrpreis;n.;B2;
federal;föderal / Bundes-;adj.;B2;
fever;Fieber;n.;B2;
firefighter;Feuerwehrmann/-frau;n.;B2;
firework;Feuerwerk;n.;B2;
firm;Firma / fest;adj.;B2;
firmly;fest / nachdrücklich;adv.;B2;
flavour;Geschmack;n.;B2;
fond;zugetan / liebevoll;adj.;B2;
fool;Narr / täuschen;n.;B2;
forbid;verbieten;v.;B2;
forecast;Vorhersage;n., v.;B2;
format;Format;n.;B2;
formation;Formation / Bildung;n.;B2;
formerly;früher;adv.;B2;
fortunate;glücklich (Glück gehabt);adj.;B2;
forum;Forum;n.;B2;
fossil;Fossil;n.;B2;
foundation;Grundlage / Stiftung;n.;B2;
founder;Gründer:in;n.;B2;
fraction;Bruchteil;n.;B2;
fragment;Fragment / Bruchstück;n.;B2;
framework;Rahmen / Gerüst;n.;B2;
fraud;Betrug;n.;B2;
freely;frei / ungehindert;adv.;B2;
frequent;häufig;adj.;B2;
fulfil;erfüllen;v.;B2;
fundamentally;grundlegend;adv.;B2;
furious;wütend / rasend;adj.;B2;
gaming;Gaming;n.;B2;
gay;schwul / homosexuell;adj.;B2;
gender;Geschlecht;n.;B2;
gene;Gen;n.;B2;
genetic;genetisch;adj.;B2;
genius;Genie;n.;B2;
genuine;echt;adj.;B2;
genuinely;wirklich / aufrichtig;adv.;B2;
gesture;Geste;n.;B2;
gig;Gig / Auftritt;n.;B2;
globalization;Globalisierung;n.;B2;
globe;Globus / Welt;n.;B2;
golden;golden;adj.;B2;
goodness;Güte;n.;B2;
gorgeous;wunderschön;adj.;B2;
governor;Gouverneur:in;n.;B2;
graphic;Grafik / grafisch;adj.;B2;
graphics;Grafiken;n.;B2;
greatly;sehr / stark;adv.;B2;
greenhouse;Gewächshaus / Treibhaus;n.;B2;
grocery;Lebensmittelladen;n.;B2;
guideline;Richtlinie;n.;B2;
habitat;Lebensraum;n.;B2;
harbour;Hafen;n.;B2;
headquarters;Hauptsitz / Zentrale;n.;B2;
heal;heilen;v.;B2;
healthcare;Gesundheitswesen;n.;B2;
helmet;Helm;n.;B2;
hence;daher / folglich;adv.;B2;
herb;Kraut / Kräuter;n.;B2;
hidden;versteckt;adj.;B2;
highway;Autobahn / Fernstraße;n.;B2;
hilarious;witzig / sehr lustig;adj.;B2;
hip;Hüfte / hip;n.;B2;
historian;Historiker:in;n.;B2;
homeless;obdachlos;adj.;B2;
honesty;Ehrlichkeit;n.;B2;
hook;Haken;n.;B2;
hopefully;hoffentlich;adv.;B2;
hunger;Hunger;n.;B2;
hypothesis;Hypothese;n.;B2;
icon;Symbol / Ikone;n.;B2;
ID;Ausweis;n.;B2;
identical;identisch;adj.;B2;
illusion;Illusion / Täuschung;n.;B2;
immigration;Einwanderung;n.;B2;
immune;immun;adj.;B2;
implement;umsetzen / Werkzeug;v.;B2;
implication;Implikation / Folge;n.;B2;
incentive;Anreiz;n.;B2;
incorporate;einbeziehen / aufnehmen;v.;B2;
incorrect;falsch / inkorrekt;adj.;B2;
independence;Unabhängigkeit;n.;B2;
index;Index / Verzeichnis;n.;B2;
indication;Anzeichen / Hinweis;n.;B2;
inevitable;unvermeidlich;adj.;B2;
inevitably;unvermeidlich;adv.;B2;
infer;schlussfolgern;v.;B2;
inflation;Inflation;n.;B2;
info;Info;n.;B2;
infrastructure;Infrastruktur;n.;B2;
inhabitant;Einwohner:in / Bewohner:in;n.;B2;
inherit;erben;v.;B2;
ink;Tinte;n.;B2;
innovation;Innovation / Neuerung;n.;B2;
innovative;innovativ;adj.;B2;
input;Eingabe / Beitrag;n.;B2;
insert;einfügen;v.;B2;
inspector;Inspektor:in;n.;B2;
installation;Installation;n.;B2;
instant;sofortig / Augenblick;adj.;B2;
instantly;sofort;adv.;B2;
integrate;integrieren;v.;B2;
intellectual;intellektuell;adj.;B2;
interact;interagieren;v.;B2;
interaction;Interaktion;n.;B2;
interpretation;Interpretation;n.;B2;
interval;Pause / Intervall;n.;B2;
invade;einmarschieren / eindringen;v.;B2;
invasion;Invasion;n.;B2;
investor;Investor:in;n.;B2;
isolate;isolieren;v.;B2;
isolated;isoliert / einsam;adj.;B2;
jail;Gefängnis;n., v.;B2;
jet;Düsenflugzeug / Strahl;n.;B2;
joint;gemeinsam / Gelenk;adj., n.;B2;
journalism;Journalismus;n.;B2;
jury;Jury / Geschworene;n.;B2;
kit;Ausrüstung / Bausatz;n.;B2;
ladder;Leiter (Steig-);n.;B2;
landing;Landung;n.;B2;
lane;Fahrspur / Gasse;n.;B2;
lately;in letzter Zeit;adv.;B2;
leaflet;Flyer / Faltblatt;n.;B2;
legend;Legende;n.;B2;
lens;Linse / Objektiv;n.;B2;
lifetime;Lebenszeit;n.;B2;
lighting;Beleuchtung;n.;B2;
likewise;ebenso / gleichermaßen;adv.;B2;
limitation;Einschränkung / Grenze;n.;B2;
literally;buchstäblich / wörtlich;adv.;B2;
literary;literarisch;adj.;B2;
litre;Liter;n.;B2;
litter;Müll / Abfall;n.;B2;
logo;Logo;n.;B2;
lottery;Lotterie;n.;B2;
loyal;loyal / treu;adj.;B2;
lyric;Liedtext / lyrisch;n.;B2;
magnificent;großartig / prachtvoll;adj.;B2;
make-up;Make-up / Schminke;n.;B2;
making;Herstellung / Machen;n.;B2;
manufacture;herstellen / produzieren;v.;B2;
manufacturing;Herstellung / Fertigung;n.;B2;
marathon;Marathon;n.;B2;
margin;Rand / Marge;n.;B2;
marker;Marker / Markierung;n.;B2;
martial;Kampf- / kriegerisch;adj.;B2;
mate;Kumpel / Partner:in;n., v.;B2;
mayor;Bürgermeister:in;n.;B2;
mechanic;Mechaniker:in;n.;B2;
mechanical;mechanisch;adj.;B2;
mechanism;Mechanismus;n.;B2;
medal;Medaille;n.;B2;
medication;Medikament;n.;B2;
membership;Mitgliedschaft;n.;B2;
memorable;denkwürdig / einprägsam;adj.;B2;
metaphor;Metapher;n.;B2;
miner;Bergarbeiter:in;n.;B2;
miserable;elend / unglücklich;adj.;B2;
mode;Modus / Art;n.;B2;
modest;bescheiden;adj.;B2;
monster;Monster;n.;B2;
monthly;monatlich;adj.;B2;
monument;Denkmal;n.;B2;
moreover;außerdem;adv.;B2;
mortgage;Hypothek;n.;B2;
mosque;Moschee;n.;B2;
motion;Bewegung / Antrag;n.;B2;
motivate;motivieren;v.;B2;
motivation;Motivation;n.;B2;
moving;bewegend / rührend;adj.;B2;
myth;Mythos;n.;B2;
naked;nackt;adj.;B2;
nasty;böse / fies;adj.;B2;
navigation;Navigation;n.;B2;
nearby;in der Nähe;adj., adv.;B2;
necessity;Notwendigkeit;n.;B2;
negotiate;verhandeln;v.;B2;
negotiation;Verhandlung;n.;B2;
neutral;neutral;adj.;B2;
newly;neu;adv.;B2;
norm;Norm;n.;B2;
notebook;Notizbuch;n.;B2;
novelist;Romanautor:in;n.;B2;
nowadays;heutzutage;adv.;B2;
nursing;Pflege / Krankenpflege;adj.;B2;
nutrition;Ernährung;n.;B2;
obesity;Fettleibigkeit;n.;B2;
observer;Beobachter:in;n.;B2;
obstacle;Hindernis;n.;B2;
occupation;Beruf / Besetzung;n.;B2;
occupy;besetzen / belegen;v.;B2;
offender;Straftäter:in;n.;B2;
ongoing;laufend / andauernd;adj.;B2;
openly;offen;adv.;B2;
opera;Oper;n.;B2;
operator;Bediener:in / Betreiber;n.;B2;
optimistic;optimistisch;adj.;B2;
orchestra;Orchester;n.;B2;
organic;biologisch / organisch;adj.;B2;
outfit;Outfit;n.;B2;
output;Ausgabe / Leistung;n.;B2;
outstanding;hervorragend / ausstehend;adj.;B2;
overcome;überwinden;v.;B2;
overnight;über Nacht;adv.;B2;
overseas;in Übersee / im Ausland;adv., adj.;B2;
ownership;Eigentum / Besitz;n.;B2;
oxygen;Sauerstoff;n.;B2;
packet;Päckchen;n.;B2;
palm;Handfläche / Palme;n.;B2;
panic;Panik;n.;B2;
parade;Parade;n.;B2;
parallel;parallel;adj., n.;B2;
participation;Teilnahme;n.;B2;
partnership;Partnerschaft;n.;B2;
passionate;leidenschaftlich;adj.;B2;
password;Passwort;n.;B2;
patience;Geduld;n.;B2;
pause;Pause;v., n.;B2;
peer;Gleichaltrige:r / Mitglied;n.;B2;
penalty;Strafe / Elfmeter;n.;B2;
perceive;wahrnehmen;v.;B2;
perception;Wahrnehmung;n.;B2;
permanently;dauerhaft;adv.;B2;
pill;Pille / Tablette;n.;B2;
pity;Mitleid / Schade;n.;B2;
placement;Platzierung / Praktikum;n.;B2;
portion;Portion / Anteil;n.;B2;
potentially;potenziell;adv.;B2;
precede;vorausgehen;v.;B2;
precious;kostbar / wertvoll;adj.;B2;
precise;präzise / genau;adj.;B2;
precisely;genau;adv.;B2;
predictable;vorhersehbar;adj.;B2;
preference;Vorliebe;n.;B2;
pride;Stolz;n.;B2;
primarily;hauptsächlich;adv.;B2;
principal;Hauptdirektor:in / Haupt-;adj.;B2;
prior;vorherig / vor;adj.;B2;
probability;Wahrscheinlichkeit;n.;B2;
probable;wahrscheinlich;adj.;B2;
proceed;fortfahren;v.;B2;
programming;Programmierung;n.;B2;
progressive;fortschrittlich;adj.;B2;
prohibit;verbieten;v.;B2;
promising;vielversprechend;adj.;B2;
promotion;Beförderung / Werbung;n.;B2;
prompt;veranlassen / Aufforderung;v.;B2;
proportion;Anteil / Verhältnis;n.;B2;
protein;Protein;n.;B2;
protester;Demonstrant:in;n.;B2;
psychological;psychologisch;adj.;B2;
publicity;Publicity / Werbung;n.;B2;
publishing;Verlagswesen;n.;B2;
punk;Punk;n.;B2;
purely;rein;adv.;B2;
pursuit;Verfolgung / Streben;n.;B2;
puzzle;Rätsel / Puzzle;n.;B2;
questionnaire;Fragebogen;n.;B2;
racial;rassisch / Rasse-;adj.;B2;
racism;Rassismus;n.;B2;
racist;rassistisch / Rassist:in;adj., n.;B2;
radiation;Strahlung;n.;B2;
rail;Schiene / Geländer;n.;B2;
random;zufällig;adj.;B2;
rat;Ratte;n.;B2;
rating;Bewertung;n.;B2;
reasonably;vernünftig / einigermaßen;adv.;B2;
rebuild;wiederaufbauen;v.;B2;
receiver;Empfänger:in;n.;B2;
recession;Rezession / Wirtschaftskrise;n.;B2;
reckon;annehmen / rechnen;v.;B2;
recognition;Anerkennung / Wiedererkennung;n.;B2;
recovery;Erholung / Wiederherstellung;n.;B2;
recruit;anwerben / Rekrut:in;v., n.;B2;
recruitment;Rekrutierung / Anwerbung;n.;B2;
referee;Schiedsrichter:in;n.;B2;
refugee;Flüchtling;n.;B2;
registration;Registrierung / Anmeldung;n.;B2;
regulate;regulieren;v.;B2;
reinforce;verstärken;v.;B2;
relieve;lindern / erleichtern;v.;B2;
relieved;erleichtert;adj.;B2;
remarkable;bemerkenswert;adj.;B2;
remarkably;bemerkenswert;adv.;B2;
reporting;Berichterstattung;n.;B2;
resign;kündigen / zurücktreten;v.;B2;
resolution;Auflösung / Beschluss;n.;B2;
restore;wiederherstellen / restaurieren;v.;B2;
restrict;einschränken;v.;B2;
restriction;Einschränkung;n.;B2;
retail;Einzelhandel;n.;B2;
retirement;Ruhestand;n.;B2;
revenue;Einnahmen / Umsatz;n.;B2;
revision;Überarbeitung;n.;B2;
ridiculous;lächerlich;adj.;B2;
risky;riskant;adj.;B2;
rival;Rivale / Konkurrent;n., adj.;B2;
rob;rauben / berauben;v.;B2;
robbery;Raub / Überfall;n.;B2;
rocket;Rakete;n.;B2;
romance;Romanze;n.;B2;
rose;Rose;n.;B2;
roughly;ungefähr / grob;adv.;B2;
ruin;ruinieren / Ruine;v., n.;B2;
satisfaction;Zufriedenheit;n.;B2;
scandal;Skandal;n.;B2;
scare;erschrecken / Schrecken;v., n.;B2;
scenario;Szenario;n.;B2;
scholar;Gelehrte:r;n.;B2;
scholarship;Stipendium;n.;B2;
scratch;kratzen;v., n.;B2;
screening;Vorführung / Untersuchung;n.;B2;
seeker;Sucher:in;n.;B2;
seminar;Seminar;n.;B2;
settler;Siedler:in;n.;B2;
severely;schwer / streng;adv.;B2;
sexy;sexy;adj.;B2;
shaped;geformt;adj.;B2;
shocking;schockierend;adj.;B2;
shore;Ufer / Küste;n.;B2;
shortage;Mangel / Knappheit;n.;B2;
shortly;in Kürze / bald;adv.;B2;
short-term;kurzfristig;adj.;B2;
sibling;Geschwister(teil);n.;B2;
signature;Unterschrift;n.;B2;
significance;Bedeutung;n.;B2;
skilled;gekonnt / qualifiziert;adj.;B2;
skull;Schädel;n.;B2;
slogan;Slogan;n.;B2;
so-called;sogenannt;adj.;B2;
somehow;irgendwie;adv.;B2;
sometime;irgendwann;adv.;B2;
sophisticated;anspruchsvoll / raffiniert;adj.;B2;
spare;übrig / Ersatz;adj.;B2;
specialize;sich spezialisieren;v.;B2;
specify;spezifizieren / angeben;v.;B2;
spectacular;spektakulär;adj.;B2;
spectator;Zuschauer:in;n.;B2;
speculate;spekulieren;v.;B2;
speculation;Spekulation;n.;B2;
spice;Gewürz;n.;B2;
spill;verschütten;v.;B2;
spite;Trotz;n.;B2;
spoil;verderben / verwöhnen;v.;B2;
spokesman;Sprecher;n.;B2;
spokesperson;Sprecher:in;n.;B2;
spokeswoman;Sprecherin;n.;B2;
sponsorship;Sponsoring;n.;B2;
sporting;sportlich / Sport-;adj.;B2;
stall;Stand / Box;n.;B2;
stance;Standpunkt / Haltung;n.;B2;
starve;verhungern;v.;B2;
steadily;stetig;adv.;B2;
steam;Dampf;n.;B2;
stimulate;anregen / stimulieren;v.;B2;
strengthen;stärken / verstärken;v.;B2;
strictly;streng / strikt;adv.;B2;
stroke;Schlaganfall / Streich;n.;B2;
stunning;atemberaubend;adj.;B2;
subsequent;nachfolgend / später;adj.;B2;
subsequently;anschließend / später;adv.;B2;
suburb;Vorort;n.;B2;
suffering;Leid;n.;B2;
sufficient;ausreichend;adj.;B2;
sufficiently;ausreichend;adv.;B2;
super;super;adj.;B2;
surgeon;Chirurg:in;n.;B2;
survival;Überleben;n.;B2;
survivor;Überlebende:r;n.;B2;
suspend;aussetzen / suspendieren;v.;B2;
sustainable;nachhaltig;adj.;B2;
swallow;schlucken;v.;B2;
sympathetic;mitfühlend;adj.;B2;
tackle;in Angriff nehmen / Tackle;v.;B2;
tag;Etikett / kennzeichnen;n., v.;B2;
tap;Wasserhahn / klopfen;v., n.;B2;
technological;technologisch;adj.;B2;
teens;Teenagerjahre;n.;B2;
temple;Tempel / Schläfe;n.;B2;
temporarily;vorübergehend;adv.;B2;
tendency;Tendenz / Neigung;n.;B2;
tension;Spannung;n.;B2;
terminal;Terminal / Endgerät;n.;B2;
terms;Bedingungen / Begriffe;n.;B2;
terribly;schrecklich / sehr;adv.;B2;
terrify;in Schrecken versetzen;v.;B2;
territory;Gebiet / Territorium;n.;B2;
terror;Terror / Schrecken;n.;B2;
terrorism;Terrorismus;n.;B2;
terrorist;Terrorist:in;n.;B2;
testing;Test / Prüfung;n.;B2;
textbook;Lehrbuch;n.;B2;
theft;Diebstahl;n.;B2;
therapist;Therapeut:in;n.;B2;
thesis;Abschlussarbeit / These;n.;B2;
thorough;gründlich;adj.;B2;
thoroughly;gründlich;adv.;B2;
thumb;Daumen;n.;B2;
timing;Timing / Zeitpunkt;n.;B2;
tissue;Gewebe / Taschentuch;n.;B2;
ton;Tonne;n.;B2;
tonne;Tonne (metrisch);n.;B2;
tournament;Turnier;n.;B2;
trace;Spur / verfolgen;v.;B2;
trading;Handel;n.;B2;
tragedy;Tragödie;n.;B2;
tragic;tragisch;adj.;B2;
trait;Eigenschaft / Merkmal;n.;B2;
transmit;übertragen / senden;v.;B2;
transportation;Transport / Beförderung;n.;B2;
trap;Falle;v., n.;B2;
treasure;Schatz;n.;B2;
tribe;Stamm;n.;B2;
trigger;Auslöser / auslösen;v.;B2;
trillion;Billion;number;B2;
troop;Truppe;n.;B2;
tsunami;Tsunami;n.;B2;
ultimate;letztendlich / höchste:r;adj.;B2;
unacceptable;inakzeptabel;adj.;B2;
uncertainty;Ungewissheit;n.;B2;
undergo;durchmachen / sich unterziehen;v.;B2;
undertake;unternehmen;v.;B2;
unfold;sich entfalten / aufklappen;v.;B2;
unfortunate;unglücklich / bedauerlich;adj.;B2;
unite;vereinen;v.;B2;
unity;Einheit;n.;B2;
universal;universell;adj.;B2;
urgent;dringend;adj.;B2;
usage;Verwendung / Gebrauch;n.;B2;
useless;nutzlos;adj.;B2;
valid;gültig;adj.;B2;
variation;Variation;n.;B2;
vertical;vertikal;adj.;B2;
viewpoint;Standpunkt;n.;B2;
visa;Visum;n.;B2;
visible;sichtbar;adj.;B2;
voluntary;freiwillig;adj.;B2;
voting;Abstimmung;n.;B2;
wander;umherwandern;v.;B2;
warming;Erwärmung;n.;B2;
weekly;wöchentlich;adj.;B2;
weird;seltsam;adj.;B2;
welfare;Wohlfahrt / Sozialhilfe;n.;B2;
wheat;Weizen;n.;B2;
whoever;wer auch immer;pron.;B2;
widespread;weit verbreitet;adj.;B2;
wisdom;Weisheit;n.;B2;
withdraw;abheben / zurückziehen;v.;B2;
workforce;Arbeitskräfte / Belegschaft;n.;B2;
workplace;Arbeitsplatz;n.;B2;
workshop;Werkstatt / Workshop;n.;B2;
worm;Wurm;n.;B2;
wrist;Handgelenk;n.;B2;
