wort;übersetzung;wortart;niveau;thema
technology;Technologie;n.;A2;
teenage;jugendlich / Teenager-;adj.;A2;
temperature;Temperatur;n.;A2;
term;Begriff / Semester;n.;A2;
text;Text / SMS;v.;A2;
themselves;sich selbst (Pl.);pron.;A2;
thick;dick;adj.;A2;
thief;Dieb:in;n.;A2;
thin;dünn;adj.;A2;
thinking;Denken;n.;A2;
third;dritte:r;n.;A2;
thought;Gedanke;n.;A2;
throw;werfen;v.;A2;
tidy;ordentlich / aufräumen;adj., v.;A2;
tie;Krawatte / binden;v., n.;A2;
tip;Tipp / Trinkgeld;n.;A2;
tool;Werkzeug;n.;A2;
top;Spitze / oben;n., adj.;A2;
touch;berühren;v.;A2;
tour;Tour / Reise;n.;A2;
tourism;Tourismus;n.;A2;
towards;in Richtung / zu;prep.;A2;
towel;Handtuch;n.;A2;
tower;Turm;n.;A2;
toy;Spielzeug;n., adj.;A2;
track;Spur / Strecke;n.;A2;
tradition;Tradition;n.;A2;
traditional;traditionell;adj.;A2;
train;Zug / trainieren;v.;A2;
trainer;Trainer:in / Sportschuh;n.;A2;
training;Training / Ausbildung;n.;A2;
transport;Transport / transportieren;n.;A2;
traveller;Reisende:r;n.;A2;
trouble;Ärger / Schwierigkeit;n.;A2;
truck;LKW;n.;A2;
twin;Zwilling;n., adj.;A2;
typical;typisch;adj.;A2;
underground;U-Bahn / unterirdisch;adj., adv.;A2;
understanding;Verständnis;n.;A2;
unfortunately;leider;adv.;A2;
unhappy;unglücklich;adj.;A2;
uniform;Uniform;n.;A2;
unit;Einheit;n.;A2;
united;vereint;adj.;A2;
unusual;ungewöhnlich;adj.;A2;
upstairs;oben (Stockwerk);adj.;A2;
use;benutzen;n.;A2;
used to;pflegte zu / früher;modal v.;A2;
user;Nutzer:in;n.;A2;
usual;üblich;adj.;A2;
valley;Tal;n.;A2;
van;Lieferwagen;n.;A2;
variety;Vielfalt;n.;A2;
vehicle;Fahrzeug;n.;A2;
view;Aussicht / Ansicht;n.;A2;
virus;Virus;n.;A2;
voice;Stimme;n.;A2;
wait;warten;n.;A2;
war;Krieg;n.;A2;
wash;waschen;n.;A2;
washing;Waschen / Wäsche;n.;A2;
wave;Welle / winken;n.;A2;
weak;schwach;adj.;A2;
web;Web / Netz;n.;A2;
wedding;Hochzeit;n.;A2;
weight;Gewicht;n.;A2;
welcome;willkommen / begrüßen;n.;A2;
wet;nass;adj.;A2;
wheel;Rad;n.;A2;
while;während;conj.;A2;
whole;ganz;adj.;A2;
wide;breit / weit;adj.;A2;
wild;wild;adj.;A2;
wind;Wind;n.;A2;
winner;Gewinner:in;n.;A2;
wish;wünschen / Wunsch;v., n.;A2;
wood;Holz / Wald;n.;A2;
wooden;hölzern;adj.;A2;
working;arbeitend;adj.;A2;
worried;besorgt;adj.;A2;
worry;sich Sorgen machen;v.;A2;
worse;schlimmer;adj.;A2;
worst;schlimmste:r;adj.;A2;
wow;wow;exclam.;A2;
yet;noch;adv.;A2;
yours;deins / Ihres;pron.;A2;
zero;null;number;A2;
