wort;übersetzung;wortart;niveau;thema
lethal;tödlich;adj.;C1;
liable;haftbar / anfällig;adj.;C1;
liberal;liberal;adj., n.;C1;
liberation;Befreiung;n.;C1;
liberty;Freiheit;n.;C1;
license;Lizenz / lizenzieren;v.;C1;
lifelong;lebenslang;adj.;C1;
likelihood;Wahrscheinlichkeit;n.;C1;
limb;Glied / Ast;n.;C1;
linear;linear;adj.;C1;
line-up;Aufstellung / Line-up;n.;C1;
linger;verweilen / verharren;v.;C1;
listing;Auflistung;n.;C1;
literacy;Lese- und Schreibfähigkeit;n.;C1;
liver;Leber;n.;C1;
lobby;Lobby / Foyer;n., v.;C1;
log;Holzscheit / Logbuch;n., v.;C1;
logic;Logik;n.;C1;
long-standing;langjährig;adj.;C1;
long-time;langjährig;adj.;C1;
loom;auftauchen / sich abzeichnen;v.;C1;
loop;Schleife / Loop;n.;C1;
loyalty;Loyalität / Treue;n.;C1;
machinery;Maschinerie / Maschinen;n.;C1;
magical;magisch / zauberhaft;adj.;C1;
magistrate;Friedensrichter:in;n.;C1;
magnetic;magnetisch;adj.;C1;
magnitude;Größenordnung / Ausmaß;n.;C1;
mainland;Festland;n.;C1;
mainstream;Mainstream / vorherrschend;n., adj.;C1;
maintenance;Wartung / Unterhalt;n.;C1;
mandate;Mandat / Auftrag;n.;C1;
mandatory;obligatorisch / verpflichtend;adj.;C1;
manifest;manifestieren / offenkundig;v.;C1;
manipulate;manipulieren;v.;C1;
manipulation;Manipulation;n.;C1;
manuscript;Manuskript;n.;C1;
march;marschieren / Marsch;n., v.;C1;
marginal;marginal / geringfügig;adj.;C1;
marine;Meeres- / Marine-;adj.;C1;
marketplace;Marktplatz;n.;C1;
mask;Maske;n.;C1;
massacre;Massaker;n.;C1;
mathematical;mathematisch;adj.;C1;
mature;reif / heranreifen;adj., v.;C1;
maximize;maximieren;v.;C1;
meaningful;bedeutsam / sinnvoll;adj.;C1;
meantime;Zwischenzeit;n.;C1;
medieval;mittelalterlich;adj.;C1;
meditation;Meditation;n.;C1;
melody;Melodie;n.;C1;
memo;Memo / Notiz;n.;C1;
memoir;Memoiren;n.;C1;
memorial;Denkmal / Gedenk-;n.;C1;
mentor;Mentor:in;n.;C1;
merchant;Händler:in / Kaufmann;n.;C1;
mercy;Gnade / Erbarmen;n.;C1;
mere;bloß / nur;adj.;C1;
merely;lediglich / bloß;adv.;C1;
merge;verschmelzen / fusionieren;v.;C1;
merger;Fusion;n.;C1;
merit;Verdienst / verdienen;n.;C1;
methodology;Methodologie;n.;C1;
midst;Mitte / inmitten;n.;C1;
migration;Migration / Wanderung;n.;C1;
militant;militant / Kämpfer:in;n., adj.;C1;
militia;Miliz;n.;C1;
mill;Mühle;n.;C1;
minimal;minimal;adj.;C1;
minimize;minimieren;v.;C1;
mining;Bergbau;n.;C1;
ministry;Ministerium;n.;C1;
minute;Minute / winzig;adj.;C1;
miracle;Wunder;n.;C1;
misery;Elend / Not;n.;C1;
misleading;irreführend;adj.;C1;
missile;Rakete / Geschoss;n.;C1;
mob;Mob / Pöbel;n.;C1;
mobility;Mobilität;n.;C1;
mobilize;mobilisieren;v.;C1;
moderate;mäßig / moderieren;adj.;C1;
modification;Änderung / Modifikation;n.;C1;
momentum;Schwung / Impuls;n.;C1;
monk;Mönch;n.;C1;
monopoly;Monopol;n.;C1;
morality;Moral / Sittlichkeit;n.;C1;
motive;Motiv / Beweggrund;n.;C1;
motorist;Autofahrer:in;n.;C1;
municipal;städtisch / kommunal;adj.;C1;
mutual;gegenseitig;adj.;C1;
namely;nämlich;adv.;C1;
nationwide;landesweit;adj.;C1;
naval;Marine- / See-;adj.;C1;
neglect;vernachlässigen / Vernachlässigung;v., n.;C1;
neighbouring;benachbart;adj.;C1;
nest;Nest;n.;C1;
net;Netz / netto;adj.;C1;
newsletter;Newsletter / Rundschreiben;n.;C1;
niche;Nische;n.;C1;
noble;edel / nobel;adj.;C1;
nod;nicken;v.;C1;
nominate;nominieren / vorschlagen;v.;C1;
nomination;Nominierung;n.;C1;
nominee;Kandidat:in / Nominierte:r;n.;C1;
nonetheless;nichtsdestotrotz;adv.;C1;
non-profit;gemeinnützig;adj.;C1;
nonsense;Unsinn;n.;C1;
noon;Mittag;n.;C1;
notable;bemerkenswert;adj.;C1;
notably;insbesondere / vor allem;adv.;C1;
notify;benachrichtigen;v.;C1;
notorious;berüchtigt;adj.;C1;
novel;Roman / neuartig;adj.;C1;
nursery;Kindergarten / Gärtnerei;n.;C1;
objection;Einwand;n.;C1;
oblige;verpflichten / einen Gefallen tun;v.;C1;
obsess;besessen sein;v.;C1;
obsession;Besessenheit / Obsession;n.;C1;
occasional;gelegentlich;adj.;C1;
occurrence;Vorkommnis / Auftreten;n.;C1;
odds;Chancen / Quoten;n.;C1;
offering;Angebot / Opfergabe;n.;C1;
offspring;Nachkommen;n.;C1;
operational;betriebsbereit / operativ;adj.;C1;
opt;sich entscheiden;v.;C1;
optical;optisch;adj.;C1;
optimism;Optimismus;n.;C1;
oral;mündlich / oral;adj.;C1;
organizational;organisatorisch;adj.;C1;
orientation;Orientierung;n.;C1;
originate;stammen / entstehen;v.;C1;
outbreak;Ausbruch;n.;C1;
outing;Ausflug;n.;C1;
outlet;Steckdose / Verkaufsstelle;n.;C1;
outlook;Aussicht / Einstellung;n.;C1;
outrage;Empörung;n., v.;C1;
outsider;Außenseiter:in;n.;C1;
overlook;übersehen / überblicken;v.;C1;
overly;übermäßig;adv.;C1;
oversee;beaufsichtigen;v.;C1;
overturn;umkippen / aufheben;v.;C1;
overwhelm;überwältigen;v.;C1;
overwhelming;überwältigend;adj.;C1;
pad;Block / Polster;n.;C1;
parameter;Parameter;n.;C1;
parental;elterlich;adj.;C1;
parish;Pfarrei / Kirchengemeinde;n.;C1;
parliamentary;parlamentarisch;adj.;C1;
partial;teilweise / parteilich;adj.;C1;
partially;teilweise;adv.;C1;
passing;vorübergehend / Vorbeigehen;n.;C1;
passive;passiv;adj.;C1;
pastor;Pastor:in;n.;C1;
patch;Flicken / Pflaster;n.;C1;
patent;Patent;n.;C1;
pathway;Weg / Pfad;n.;C1;
patrol;Patrouille;n., v.;C1;
patron;Förderer / Stammgast;n.;C1;
peak;Gipfel / Höhepunkt;n.;C1;
peasant;Bauer / Bäuerin (hist.);n.;C1;
peculiar;eigenartig / eigentümlich;adj.;C1;
persist;bestehen / fortdauern;v.;C1;
persistent;hartnäckig / beharrlich;adj.;C1;
personnel;Personal;n.;C1;
petition;Petition;n.;C1;
philosopher;Philosoph:in;n.;C1;
philosophical;philosophisch;adj.;C1;
physician;Arzt / Ärztin;n.;C1;
pioneer;Pionier:in;n., v.;C1;
pipeline;Pipeline;n.;C1;
pirate;Pirat;n.;C1;
pit;Grube / Loch;n.;C1;
plea;Bitte / Plädoyer;n.;C1;
plead;flehen / plädieren;v.;C1;
pledge;Versprechen / versprechen;v., n.;C1;
plug;Stecker / Stöpsel;v., n.;C1;
plunge;stürzen / Sturz;v.;C1;
pole;Stange / Pol;n.;C1;
poll;Umfrage / Wahl;n.;C1;
pond;Teich;n.;C1;
pop;Pop / knallen;v.;C1;
portfolio;Portfolio / Mappe;n.;C1;
portray;darstellen / porträtieren;v.;C1;
postpone;verschieben;v.;C1;
post-war;Nachkriegs-;adj.;C1;
practitioner;Praktiker:in / Ausübende:r;n.;C1;
preach;predigen;v.;C1;
precedent;Präzedenzfall;n.;C1;
precision;Präzision;n.;C1;
predator;Raubtier;n.;C1;
predecessor;Vorgänger:in;n.;C1;
predominantly;überwiegend;adv.;C1;
pregnancy;Schwangerschaft;n.;C1;
prejudice;Vorurteil;n.;C1;
preliminary;vorläufig / vorbereitend;adj.;C1;
premier;Premier / führend;n.;C1;
premise;Prämisse / Räumlichkeiten;n.;C1;
premium;Prämie / hochwertig;n.;C1;
prescribe;verschreiben;v.;C1;
prescription;Rezept / Verschreibung;n.;C1;
presently;derzeit / bald;adv.;C1;
preservation;Erhaltung;n.;C1;
preside;vorsitzen;v.;C1;
presidency;Präsidentschaft;n.;C1;
presidential;präsidial / Präsidenten-;adj.;C1;
prestigious;renommiert / prestigeträchtig;adj.;C1;
presumably;vermutlich;adv.;C1;
presume;annehmen / vermuten;v.;C1;
prevail;vorherrschen / siegen;v.;C1;
prevalence;Verbreitung / Häufigkeit;n.;C1;
prevention;Verhinderung / Vorbeugung;n.;C1;
prey;Beute;n.;C1;
principal;Hauptdirektor:in / Haupt-;n.;C1;
privatization;Privatisierung;n.;C1;
privilege;Privileg;n.;C1;
probe;Untersuchung / sondieren;n., v.;C1;
problematic;problematisch;adj.;C1;
proceedings;Verfahren / Vorgänge;n.;C1;
proceeds;Erlös / Einnahmen;n.;C1;
processing;Verarbeitung;n.;C1;
processor;Prozessor;n.;C1;
proclaim;verkünden;v.;C1;
productive;produktiv;adj.;C1;
productivity;Produktivität;n.;C1;
profitable;profitabel / rentabel;adj.;C1;
profound;tiefgreifend / tief;adj.;C1;
projection;Projektion / Vorhersage;n.;C1;
prominent;prominent / hervorstechend;adj.;C1;
pronounced;ausgeprägt;adj.;C1;
propaganda;Propaganda;n.;C1;
proposition;Vorschlag / Behauptung;n.;C1;
prosecute;strafrechtlich verfolgen;v.;C1;
prosecution;Strafverfolgung;n.;C1;
prosecutor;Staatsanwalt / Staatsanwältin;n.;C1;
prospective;voraussichtlich / Prospect;adj.;C1;
prosperity;Wohlstand;n.;C1;
protective;schützend / schützerisch;adj.;C1;
protocol;Protokoll;n.;C1;
province;Provinz;n.;C1;
provincial;provinziell;adj.;C1;
provision;Bestimmung / Versorgung;n.;C1;
provoke;provozieren / hervorrufen;v.;C1;
psychiatric;psychiatrisch;adj.;C1;
pulse;Puls;n.;C1;
pump;Pumpe / pumpen;v., n.;C1;
punch;schlagen / Schlag;n., v.;C1;
query;Anfrage / Frage;n.;C1;
quest;Suche / Streben;n.;C1;
quota;Quote / Kontingent;n.;C1;
radar;Radar;n.;C1;
radical;radikal;adj.;C1;
rage;Wut;n.;C1;
raid;Razzia / Überfall;n., v.;C1;
rally;Kundgebung / Rallye;n., v.;C1;
ranking;Rangliste / Ranking;n.;C1;
rape;Vergewaltigung / vergewaltigen;n., v.;C1;
ratio;Verhältnis / Quote;n.;C1;
rational;rational;adj.;C1;
ray;Strahl;n.;C1;
readily;bereitwillig / leicht;adv.;C1;
realization;Verwirklichung / Erkenntnis;n.;C1;
realm;Reich / Bereich;n.;C1;
rear;hinten / Hinter-;adj., n.;C1;
reasoning;Argumentation / Denken;n.;C1;
reassure;beruhigen;v.;C1;
rebel;Rebell:in / rebellieren;n.;C1;
rebellion;Rebellion;n.;C1;
recipient;Empfänger:in;n.;C1;
reconstruction;Wiederaufbau / Rekonstruktion;n.;C1;
recount;schildern / nachzählen;v.;C1;
referendum;Referendum;n.;C1;
reflection;Reflexion / Spiegelung;n.;C1;
reform;Reform / reformieren;n., v.;C1;
refuge;Zuflucht;n.;C1;
refusal;Weigerung / Ablehnung;n.;C1;
regain;wiedererlangen;v.;C1;
regardless;ungeachtet / dennoch;adv.;C1;
regime;Regime;n.;C1;
regulator;Regulierungsbehörde;n.;C1;
regulatory;Regulierungs-;adj.;C1;
rehabilitation;Rehabilitation;n.;C1;
reign;Herrschaft / regieren;n., v.;C1;
rejection;Ablehnung;n.;C1;
relevance;Relevanz;n.;C1;
reliability;Zuverlässigkeit;n.;C1;
reluctant;widerwillig / zögerlich;adj.;C1;
remainder;Rest / Überbleibsel;n.;C1;
remains;Überreste;n.;C1;
remedy;Heilmittel / Abhilfe;n.;C1;
reminder;Erinnerung / Mahnung;n.;C1;
removal;Entfernung;n.;C1;
render;machen / wiedergeben;v.;C1;
renew;erneuern;v.;C1;
renowned;renommiert / berühmt;adj.;C1;
rental;Miete / Mietwagen;n.;C1;
replacement;Ersatz / Auswechslung;n.;C1;
reportedly;Berichten zufolge;adv.;C1;
representation;Darstellung / Vertretung;n.;C1;
reproduce;reproduzieren / fortpflanzen;v.;C1;
reproduction;Reproduktion / Fortpflanzung;n.;C1;
republic;Republik;n.;C1;
resemble;ähneln;v.;C1;
reside;wohnen / residieren;v.;C1;
residence;Wohnsitz / Residenz;n.;C1;
residential;Wohn- / wohnen;adj.;C1;
residue;Rückstand / Rest;n.;C1;
resignation;Rücktritt / Resignation;n.;C1;
resistance;Widerstand;n.;C1;
respective;jeweilig;adj.;C1;
respectively;jeweils;adv.;C1;
restoration;Restaurierung / Wiederherstellung;n.;C1;
restraint;Zurückhaltung / Beschränkung;n.;C1;
resume;wieder aufnehmen;v.;C1;
retreat;Rückzug / sich zurückziehen;n., v.;C1;
retrieve;abrufen / zurückholen;v.;C1;
revelation;Enthüllung / Offenbarung;n.;C1;
revenge;Rache;n.;C1;
reverse;umkehren / Rückwärts-;v., n., adj.;C1;
revival;Wiederbelebung;n.;C1;
revive;wiederbeleben;v.;C1;
revolutionary;revolutionär;adj.;C1;
rhetoric;Rhetorik;n.;C1;
rifle;Gewehr;n.;C1;
riot;Aufruhr / Krawall;n.;C1;
rip;zerreißen;v.;C1;
ritual;Ritual;n.;C1;
robust;robust;adj.;C1;
rock;Stein / Rock;v.;C1;
rod;Stange / Rute;n.;C1;
rotate;rotieren / drehen;v.;C1;
rotation;Rotation;n.;C1;
ruling;Urteil / herrschend;n.;C1;
rumour;Gerücht;n.;C1;
sack;Sack / entlassen;v.;C1;
sacred;heilig;adj.;C1;
sacrifice;Opfer / opfern;n., v.;C1;
saint;Heilige:r;n.;C1;
sake;Wille / um … willen;n.;C1;
sanction;Sanktion / sanktionieren;n.;C1;
say;sagen;n.;C1;
scattered;verstreut;adj.;C1;
sceptical;skeptisch;adj.;C1;
scope;Umfang / Spielraum;n.;C1;
screw;Schraube / schrauben;v., n.;C1;
scrutiny;Prüfung / Untersuchung;n.;C1;
seal;Siegel / Robbe / versiegeln;v., n.;C1;
secular;weltlich / säkular;adj.;C1;
seemingly;scheinbar;adv.;C1;
segment;Segment;n.;C1;
seize;ergreifen / beschlagnahmen;v.;C1;
seldom;selten;adv.;C1;
selective;selektiv;adj.;C1;
senator;Senator:in;n.;C1;
sensation;Sensation / Empfindung;n.;C1;
sensitivity;Empfindlichkeit / Sensibilität;n.;C1;
sentiment;Sentiment / Gefühl;n.;C1;
separation;Trennung;n.;C1;
serial;Serien- / Serie;adj.;C1;
settlement;Siedlung / Vergleich;n.;C1;
set-up;Aufbau / Setup;n.;C1;
sexuality;Sexualität;n.;C1;
shareholder;Aktionär:in;n.;C1;
shatter;zerschmettern;v.;C1;
shed;Schuppen / abwerfen;v.;C1;
sheer;rein / pur;adj.;C1;
shipping;Versand / Schifffahrt;n.;C1;
shoot;schießen / Spross;n.;C1;
shrink;schrumpfen;v.;C1;
shrug;Schultern zucken;v.;C1;
sigh;seufzen / Seufzer;v., n.;C1;
simulate;simulieren;v.;C1;
simulation;Simulation;n.;C1;
simultaneously;gleichzeitig;adv.;C1;
sin;Sünde;n.;C1;
situated;gelegen / situiert;adj.;C1;
sketch;Skizze / skizzieren;n.;C1;
skip;überspringen / hüpfen;v.;C1;
slam;zuschlagen;v.;C1;
slap;ohrfeigen / Klatschen;v.;C1;
slash;schlitzen / drastisch kürzen;v.;C1;
slavery;Sklaverei;n.;C1;
slot;Schlitz / Zeitfenster;n.;C1;
smash;zerschlagen;v.;C1;
snap;knipsen / brechen;v.;C1;
soak;einweichen / durchnässen;v.;C1;
soar;in die Höhe schnellen;v.;C1;
socialist;sozialistisch / Sozialist:in;adj.;C1;
sole;einzige:r / Sohle;adj.;C1;
solely;ausschließlich;adv.;C1;
solicitor;Anwalt / Anwältin (UK);n.;C1;
solidarity;Solidarität;n.;C1;
solo;Solo;adj., n.;C1;
sound;Klang / klingen;adj.;C1;
sovereignty;Souveränität;n.;C1;
spam;Spam;n.;C1;
span;Spanne / umspannen;v., n.;C1;
spare;übrig / Ersatz;v.;C1;
spark;Funke / auslösen;v.;C1;
specialized;spezialisiert;adj.;C1;
specification;Spezifikation;n.;C1;
specimen;Exemplar / Probe;n.;C1;
spectacle;Schauspiel / Brille (Pl.);n.;C1;
spectrum;Spektrum;n.;C1;
spell;buchstabieren / Zauber;n.;C1;
sphere;Kugel / Sphäre;n.;C1;
spin;drehen / Drehung;v., n.;C1;
spine;Wirbelsäule / Buchrücken;n.;C1;
spotlight;Scheinwerfer / Rampenlicht;n.;C1;
spouse;Ehepartner:in;n.;C1;
spy;Spion:in / spionieren;n., v.;C1;
squad;Mannschaft / Trupp;n.;C1;
squeeze;drücken / quetschen;v.;C1;
stab;stechen / Stich;v.;C1;
stability;Stabilität;n.;C1;
stabilize;stabilisieren;v.;C1;
stake;Anteil / Pfahl;n.;C1;
standing;Ansehen / stehend;adj.;C1;
stark;krass / nackt;adj.;C1;
statistical;statistisch;adj.;C1;
steer;lenken / steuern;v.;C1;
stem;Stamm / stammen;n., v.;C1;
stereotype;Stereotyp;n.;C1;
stimulus;Reiz / Anreiz;n.;C1;
stir;rühren / Aufruhr;v.;C1;
storage;Lagerung / Speicher;n.;C1;
straightforward;geradlinig / unkompliziert;adj.;C1;
strain;Belastung / belasten;n.;C1;
strand;Strang / Strand;n.;C1;
strategic;strategisch;adj.;C1;
striking;auffallend / streikend;adj.;C1;
strip (long narrow piece);Streifen;n.;C1;
strip (remove clothes/a layer);ausziehen / entfernen;v.;C1;
strive;streben;v.;C1;
structural;strukturell;adj.;C1;
stumble;stolpern;v.;C1;
stun;betäuben / verblüffen;v.;C1;
submission;Einreichung / Unterwerfung;n.;C1;
subscriber;Abonnent:in;n.;C1;
subscription;Abonnement;n.;C1;
subsidy;Subvention;n.;C1;
substantial;beträchtlich / wesentlich;adj.;C1;
substantially;erheblich;adv.;C1;
substitute;Ersatz / ersetzen;n., v.;C1;
substitution;Ersetzung / Auswechslung;n.;C1;
subtle;subtil / fein;adj.;C1;
suburban;vorstädtisch;adj.;C1;
succession;Nachfolge / Reihenfolge;n.;C1;
successive;aufeinanderfolgend;adj.;C1;
successor;Nachfolger:in;n.;C1;
suck;saugen / lutschen;v.;C1;
sue;verklagen;v.;C1;
suicide;Selbstmord / Suizid;n.;C1;
suite;Suite;n.;C1;
summit;Gipfel;n.;C1;
superb;großartig / hervorragend;adj.;C1;
superior;überlegen / Vorgesetzte:r;adj.;C1;
supervise;beaufsichtigen;v.;C1;
supervision;Aufsicht;n.;C1;
supervisor;Vorgesetzte:r / Aufseher:in;n.;C1;
supplement;Ergänzung;n., v.;C1;
supportive;unterstützend;adj.;C1;
supposedly;angeblich;adv.;C1;
suppress;unterdrücken;v.;C1;
supreme;höchste:r / oberste:r;adj.;C1;
surge;Anstieg / sprunghafter Anstieg;n., v.;C1;
surgical;chirurgisch;adj.;C1;
surplus;Überschuss;n.;C1;
surrender;kapitulieren / aufgeben;v.;C1;
surveillance;Überwachung;n.;C1;
suspension;Aussetzung / Suspendierung;n.;C1;
suspicion;Verdacht;n.;C1;
suspicious;verdächtig / argwöhnisch;adj.;C1;
sustain;aufrechterhalten / erleiden;v.;C1;
swing;schwingen / Schaukel;v., n.;C1;
sword;Schwert;n.;C1;
symbolic;symbolisch;adj.;C1;
syndrome;Syndrom;n.;C1;
synthesis;Synthese;n.;C1;
systematic;systematisch;adj.;C1;
tackle;in Angriff nehmen;n.;C1;
tactic;Taktik;n.;C1;
tactical;taktisch;adj.;C1;
taxpayer;Steuerzahler:in;n.;C1;
tempt;verführen / versuchen;v.;C1;
tenant;Mieter:in;n.;C1;
tender;zart / Angebot;adj.;C1;
tenure;Amtszeit / unbefristete Anstellung;n.;C1;
terminal;Terminal;adj.;C1;
terminate;beenden / kündigen;v.;C1;
terrain;Gelände / Terrain;n.;C1;
terrific;großartig / fantastisch;adj.;C1;
testify;aussagen / bezeugen;v.;C1;
testimony;Aussage / Zeugnis;n.;C1;
texture;Textur / Beschaffenheit;n.;C1;
thankfully;zum Glück;adv.;C1;
theatrical;theatralisch;adj.;C1;
theology;Theologie;n.;C1;
theoretical;theoretisch;adj.;C1;
thereafter;danach;adv.;C1;
thereby;dadurch;adv.;C1;
thoughtful;nachdenklich / rücksichtsvoll;adj.;C1;
thought-provoking;zum Nachdenken anregend;adj.;C1;
thread;Faden / Thread;n.;C1;
threshold;Schwelle;n.;C1;
thrilled;begeistert / aufgeregt;adj.;C1;
thrive;gedeihen / florieren;v.;C1;
tide;Gezeiten / Flut;n.;C1;
tighten;festziehen / verschärfen;v.;C1;
timber;Bauholz / Nutzholz;n.;C1;
timely;rechtzeitig;adj.;C1;
tobacco;Tabak;n.;C1;
tolerance;Toleranz;n.;C1;
tolerate;tolerieren / dulden;v.;C1;
toll;Maut / Tribut;n.;C1;
top;Spitze / oberste:r;v.;C1;
torture;Folter / foltern;n., v.;C1;
toss;werfen;v.;C1;
total;gesamt / Summe;v.;C1;
toxic;giftig / toxisch;adj.;C1;
trace;Spur / verfolgen;n.;C1;
trademark;Markenzeichen;n.;C1;
trail;Pfad / Spur;n., v.;C1;
trailer;Anhänger / Trailer;n.;C1;
transaction;Transaktion;n.;C1;
transcript;Transkript / Niederschrift;n.;C1;
transformation;Verwandlung / Transformation;n.;C1;
transit;Transit / Durchreise;n.;C1;
transmission;Übertragung;n.;C1;
transparency;Transparenz;n.;C1;
transparent;transparent / durchsichtig;adj.;C1;
trauma;Trauma;n.;C1;
treaty;Vertrag (zwischen Staaten);n.;C1;
tremendous;enorm / gewaltig;adj.;C1;
tribal;Stammes-;adj.;C1;
tribunal;Tribunal / Gericht;n.;C1;
tribute;Tribut / Hommage;n.;C1;
trigger;Auslöser / auslösen;n.;C1;
trio;Trio;n.;C1;
triumph;Triumph;n.;C1;
trophy;Trophäe;n.;C1;
troubled;verstört / gestört;adj.;C1;
trustee;Treuhänder:in;n.;C1;
tuition;Studiengebühr / Unterricht;n.;C1;
turnout;Beteiligung / Zuschauerzahl;n.;C1;
turnover;Umsatz / Fluktuation;n.;C1;
twist;drehen / Wendung;v., n.;C1;
undergraduate;Bachelorstudent:in;n.;C1;
underlying;zugrundeliegend;adj.;C1;
undermine;untergraben;v.;C1;
undoubtedly;zweifellos;adv.;C1;
unify;vereinen;v.;C1;
unprecedented;beispiellos;adj.;C1;
unveil;enthüllen;v.;C1;
upcoming;bevorstehend / kommend;adj.;C1;
upgrade;aufrüsten / Upgrade;v., n.;C1;
uphold;aufrechterhalten / bestätigen;v.;C1;
utility;Versorgungsbetrieb / Nutzen;n.;C1;
utilize;nutzen / verwenden;v.;C1;
utterly;völlig / absolut;adv.;C1;
vacuum;Vakuum / Staubsauger;n.;C1;
vague;vage / unbestimmt;adj.;C1;
validity;Gültigkeit;n.;C1;
vanish;verschwinden;v.;C1;
variable;Variable / variabel;n., adj.;C1;
varied;vielfältig / unterschiedlich;adj.;C1;
vein;Vene / Ader;n.;C1;
venture;Unternehmung / wagen;n., v.;C1;
verbal;verbal / mündlich;adj.;C1;
verdict;Urteil;n.;C1;
verify;überprüfen / verifizieren;v.;C1;
verse;Vers;n.;C1;
versus;gegen / versus;prep.;C1;
vessel;Gefäß / Schiff;n.;C1;
veteran;Veteran:in;n.;C1;
viable;lebensfähig / machbar;adj.;C1;
vibrant;lebendig / pulsierend;adj.;C1;
vice;Laster;n.;C1;
vicious;bösartig / brutal;adj.;C1;
villager;Dorfbewohner:in;n.;C1;
violate;verletzen / verstoßen gegen;v.;C1;
violation;Verstoß / Verletzung;n.;C1;
virtue;Tugend;n.;C1;
vocal;stimmlich / lautstark;adj.;C1;
vow;Gelübde / schwören;v.;C1;
vulnerability;Verwundbarkeit / Schwachstelle;n.;C1;
vulnerable;verwundbar / anfällig;adj.;C1;
ward;Station (Krankenhaus) / Mündel;n.;C1;
warehouse;Lager / Lagerhaus;n.;C1;
warfare;Kriegsführung;n.;C1;
warrant;Haftbefehl / rechtfertigen;n., v.;C1;
warrior;Krieger:in;n.;C1;
weaken;schwächen;v.;C1;
weave;weben;v.;C1;
weed;Unkraut;n.;C1;
well;gut / Brunnen;n.;C1;
well-being;Wohlbefinden;n.;C1;
whatsoever;wie auch immer / überhaupt;adv.;C1;
whereby;wodurch / wobei;adv.;C1;
whilst;während;conj.;C1;
whip;peitschen / Peitsche;v.;C1;
wholly;völlig / ganz;adv.;C1;
widen;erweitern / verbreitern;v.;C1;
widow;Witwe;n.;C1;
width;Breite;n.;C1;
willingness;Bereitschaft;n.;C1;
wipe;wischen;v.;C1;
wit;Witz / Verstand;n.;C1;
withdrawal;Abhebung / Rückzug;n.;C1;
workout;Training / Workout;n.;C1;
worship;anbeten / Gottesdienst;n., v.;C1;
worthwhile;lohnenswert;adj.;C1;
worthy;würdig;adj.;C1;
yell;schreien / brüllen;v.;C1;
yield;ergeben / Ertrag;n., v.;C1;
youngster;junger Mensch / Jugendliche:r;n.;C1;
